Codigo Aluno,Matemática,Português,Ciências,L.E. Inglês,História,Geografia,MediaAno,Interpretação gráfica do desempenho
10001,,,,,,,,
4º ano,"6,3","6,1",8,***,"5,7","5,1","6,24",
5º ano,8,"7,5","7,5",***,8,"8,1","7,82",
6º ano,"7,6","6,6","7,8","8,1","7,6","5,6","7,21",
7º ano,"5,6","5,3","7,3",5,"7,3",5,"5,91",
8º ano,"7,3",7,7,7,"7,3",7,"7,1",
9º ano,"7,3","6,5",7,"8,2","6,8",6,"6,96",
MédiaG Discip,"7,01","6,5","7,43","7,07","7,11","6,13","6,875",
10002,,,,,,,,
4º ano,"8,5","8,6","9,3",*10,"8,9","8,4","8,95",
5º ano,"8,7","8,7","9,2","*9,7",9,"9,2","9,08",
6º ano,"5,3","7,2","7,7","8,5","6,8","7,1","7,1",
7º ano,"6,2","6,9","6,5","6,8","6,2",9,"6,93",
8º ano,"7,1","6,6",8,"7,5","7,5","8,4","7,51",
9º ano,"7,8","7,8","7,8","6,5","9,5","8,5","7,98",
MédiaG Discip,"7,26","7,63","8,03","8,16/7,33","7,98","8,43","7,915",
10003,,,,,,,,
4º ano,"8,6",7,"7,8",***,8,"7,6","7,8",
5º ano,"9,1","8,3","8,1",***,"8,8","8,8","8,62",
6º ano,"9,6","8,1","8,3","9,3","7,5","8,5","8,55",
7º ano,"9,8","7,6","8,5","8,6","7,8","7,1","8,23",
8º ano,"8,5","7,5","8,5",8,"7,5",9,"8,16",
9º ano,8,7,"7,5","7,2","8,5","7,3","7,58",
MédiaG Discip,"8,93","7,58","8,11","8,27","8,01","8,05","8,158",
10004,,,,,,,,
4º ano,"9,1",9,"8,6",***,"9,6",9,"9,06",
5º ano,"8,8","8,8",9,***,"9,5","9,3","9,08",
6º ano,"9,5","8,3","9,3","9,5","9,3","9,6","9,25",
7º ano,"9,3","8,8","9,5","8,1","9,5","9,5","9,11",
8º ano,9,"8,8","7,2","8,8","8,5","7,3","8,26",
9º ano,"9,8","9,3","9,2",10,"9,7","9,2","9,53",
MédiaG Discip,"9,25","8,83","8,8","9,1","9,35","8,98","9,051",
10005,,,,,,,,
