"Codigo Aluno","serie","Matemática","Português","Ciências","L.E. Inglês","História","Geografia","MediaAno","Interpretação gráfica do desempenho"
10001,"4º ano",6.3,6.1,8,,5.7,5.1,6.24,
10001,"5º ano",8,7.5,7.5,,8,8.1,7.82,
10001,"6º ano",7.6,6.6,7.8,8.1,7.6,5.6,7.21,
10001,"7º ano",5.6,5.3,7.3,5,7.3,5,5.91,
10001,"8º ano",7.3,7,7,7,7.3,7,7.1,
10001,"9º ano",7.3,6.5,7,8.2,6.8,6,6.96,
10002,"4º ano",8.5,8.6,9.3,10,8.9,8.4,8.95,
10002,"5º ano",8.7,8.7,9.2,9.7,9,9.2,9.08,
10002,"6º ano",5.3,7.2,7.7,8.5,6.8,7.1,7.1,
10002,"7º ano",6.2,6.9,6.5,6.8,6.2,9,6.93,
10002,"8º ano",7.1,6.6,8,7.5,7.5,8.4,7.51,
10002,"9º ano",7.8,7.8,7.8,6.5,9.5,8.5,7.98,
10003,"4º ano",8.6,7,7.8,,8,7.6,7.8,
10003,"5º ano",9.1,8.3,8.1,,8.8,8.8,8.62,
10003,"6º ano",9.6,8.1,8.3,9.3,7.5,8.5,8.55,
10003,"7º ano",9.8,7.6,8.5,8.6,7.8,7.1,8.23,
10003,"8º ano",8.5,7.5,8.5,8,7.5,9,8.16,
10003,"9º ano",8,7,7.5,7.2,8.5,7.3,7.58,
10004,"4º ano",9.1,9,8.6,,9.6,9,9.06,
10004,"5º ano",8.8,8.8,9,,9.5,9.3,9.08,
10004,"6º ano",9.5,8.3,9.3,9.5,9.3,9.6,9.25,
10004,"7º ano",9.3,8.8,9.5,8.1,9.5,9.5,9.11,
10004,"8º ano",9,8.8,7.2,8.8,8.5,7.3,8.26,
10004,"9º ano",9.8,9.3,9.2,10,9.7,9.2,9.53,
10005,"4º ano",7,7.1,8,,7.6,7.6,7.46,
10005,"5º ano",8.5,8.1,10,,9.3,9.6,9.1,
10005,"6º ano",7.8,7.8,7.6,7.1,6,8.8,7.51,
10005,"7º ano",5,7.3,7,5.6,5,7.1,6.16,
10005,"8º ano",8,7.5,8,9.3,8.5,8,8.21,
10005,"9º ano",3.8,6.2,4.8,4.2,3,5.2,4.53,
10006,"4º ano",8,8,9,,8.8,7.8,8.32,
10006,"5º ano",8.5,7.3,8.6,,8.5,8.6,8.3,
10006,"6º ano",8.6,7.7,8.8,9.6,8.1,7.6,8.4,
10006,"7º ano",8,8.5,9.3,8,8.8,7.5,8.35,
10006,"8º ano",8,6.6,5.2,7.8,7,7.5,7.01,
10006,"9º ano",9.5,8.3,8.8,9.2,8.7,9.5,9,
10007,"4º ano",9.1,9,8.6,,9.3,9.3,9.06,
10007,"5º ano",7.8,8.8,8.8,,9,8.1,8.5,
10007,"6º ano",9,8.7,9.1,8.8,9.3,8.6,8.91,
10007,"7º ano",8.3,8,9.6,7.3,7.8,7.6,8.1,
10007,"8º ano",9.5,8.3,10,8.5,7.5,7,8.46,
10007,"9º ano",9.7,9,9.8,9.7,9.2,10,9.56,
10008,"4º ano",7.7,7.3,7.5,,7.5,7.3,7.46,
10008,"5º ano",8.2,5,7.7,,5.8,6.4,6.62,
10008,"6º ano",5,5.4,7,7.3,5,7.1,6.13,
10008,"7º ano",5.1,5,6.2,5.5,5.4,5.8,5.5,
10008,"8º ano",5.6,5.3,7.6,7.3,6.3,6.5,6.43,
10008,"9º ano",8.5,7.8,9.2,8.8,7.5,9.2,8.5,
10009,"4º ano",6.4,7,7.8,,7.1,7.3,7.12,
10009,"5º ano",7,7.2,9,,7.5,7.7,7.68,
10009,"6º ano",6,6.4,6.9,6.1,6.6,6.5,6.41,
10009,"7º ano",6.1,6.8,6.2,8.5,6.5,6,6.68,
10009,"8º ano",6.2,6,8.3,6.8,7.8,8,7.18,
10009,"9º ano",8.5,7.5,7.2,8.2,6.3,7.8,7.58,
10010,"4º ano",7.8,8.1,9.1,,8.6,8.8,8.48,
10010,"5º ano",8.6,8.6,9.8,,9.6,9.8,9.28,
10010,"6º ano",9.5,9,9.3,9.6,9.5,9.6,9.41,
10010,"7º ano",8.8,9,9,9,9.3,9.1,9.03,
10010,"8º ano",9.5,8.5,7.3,9,7.8,7,8.18,
10010,"9º ano",9,8.8,8.3,9.3,8,9,8.73,
10011,"4º ano",7.2,7.8,7.6,,7.3,7.6,7.5,
10011,"5º ano",8.9,8.5,8.7,,7.9,7.8,8.36,
10011,"6º ano",8.3,8.3,9.2,9.6,7.6,8.1,8.51,
10011,"7º ano",7.1,7.8,8,9.1,7.8,8.1,7.98,
10011,"8º ano",7.3,7.5,8,7.3,8.3,8.3,7.78,
10011,"9º ano",7,8.7,6,8.8,7.7,7.5,7.61,
